Date,Open,High,Low,Close,Adj Close,Volume
3/7/2023,193.779999,193.880005,191.759995,192.460007,192.20047,31458200
5/7/2023,191.570007,192.979996,190.619995,191.330002,191.071976,46920300
6/7/2023,189.839996,192.020004,189.199997,191.809998,191.551331,45094300
7/7/2023,191.410004,192.669998,190.240005,190.679993,190.422852,46778000
10/7/2023,189.259995,189.990005,187.039993,188.610001,188.355652,59922200
11/7/2023,189.160004,189.300003,186.600006,188.080002,187.82637,46638100
12/7/2023,189.679993,191.699997,188.470001,189.770004,189.514084,60750200
13/7/2023,190.5,191.190002,189.779999,190.539993,190.283035,41342300
14/7/2023,190.229996,191.179993,189.630005,190.690002,190.432846,41573900
17/7/2023,191.899994,194.320007,191.809998,193.990005,193.728394,50520200
18/7/2023,193.350006,194.330002,192.419998,193.729996,193.468735,48353800
19/7/2023,193.100006,198.229996,192.649994,195.100006,194.836899,80507300
20/7/2023,195.089996,196.470001,192.5,193.130005,192.869553,59581200
21/7/2023,194.100006,194.970001,191.229996,191.940002,191.681168,71917800
24/7/2023,193.410004,194.910004,192.25,192.75,192.490067,45377800
25/7/2023,193.330002,194.440002,192.919998,193.619995,193.358887,37283200
26/7/2023,193.669998,195.639999,193.320007,194.5,194.237701,47471900
27/7/2023,196.020004,197.199997,192.550003,193.220001,192.959427,47460200
28/7/2023,194.669998,196.630005,194.139999,195.830002,195.565918,48291400
31/7/2023,196.059998,196.490005,195.259995,196.449997,196.185074,38824100
1/8/2023,196.240005,196.729996,195.279999,195.610001,195.346207,35175100
2/8/2023,195.039993,195.179993,191.850006,192.580002,192.320297,50389300
3/8/2023,191.570007,192.369995,190.690002,191.169998,190.912201,61235200
4/8/2023,185.520004,187.380005,181.919998,181.990005,181.744583,115799700
7/8/2023,182.130005,183.130005,177.350006,178.850006,178.60881,97576100
8/8/2023,179.690002,180.270004,177.580002,179.800003,179.557526,67823000
9/8/2023,180.869995,180.929993,177.009995,178.190002,177.949707,60378500
10/8/2023,179.479996,180.75,177.600006,177.970001,177.729996,54686900
11/8/2023,177.320007,178.619995,176.550003,177.789993,177.789993,51988100
14/8/2023,177.970001,179.690002,177.309998,179.460007,179.460007,43675600
15/8/2023,178.880005,179.479996,177.050003,177.449997,177.449997,43622600
16/8/2023,177.130005,178.539993,176.5,176.570007,176.570007,46964900
17/8/2023,177.139999,177.509995,173.479996,174,174,66062900
18/8/2023,172.300003,175.100006,171.960007,174.490005,174.490005,61114200
21/8/2023,175.070007,176.130005,173.740005,175.839996,175.839996,46311900
22/8/2023,177.059998,177.679993,176.25,177.229996,177.229996,42084200
23/8/2023,178.520004,181.550003,178.330002,181.119995,181.119995,52722800
24/8/2023,180.669998,181.100006,176.009995,176.380005,176.380005,54945800
25/8/2023,177.380005,179.149994,175.820007,178.610001,178.610001,51449600
28/8/2023,180.089996,180.589996,178.550003,180.190002,180.190002,43820700
29/8/2023,179.699997,184.899994,179.5,184.119995,184.119995,53003900
30/8/2023,184.940002,187.850006,184.740005,187.649994,187.649994,60813900
31/8/2023,187.839996,189.119995,187.479996,187.869995,187.869995,60794500
